Wave_ID,Stage_ID,Wave_Number,Enemy_ID,Boss_Flag,Spawn_Delay,Wave_Condition,Special_Event,Description
10914,4805,1,"[{""Monster_ID"":1201,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":1,""Position"":""Back""},{""Monster_ID"":1212,""Count"":1,""Position"":""Back""}]",FALSE,0,,,
20915,4805,2,"[{""Monster_ID"":1202,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":1,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2000,모든 적 처치,,
30916,4805,3,"[{""Monster_ID"":1202,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2500,모든 적 처치,,
40917,4805,4,"{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":1,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""},{""Monster_ID"":2301,""Count"":1,""Position"":""Back""}]",TRUE,3000,모든 적 처치,,
10918,3806,1,"[{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1212,""Count"":1,""Position"":""Back""}]",FALSE,0,,,
20919,3806,2,"[{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1209,""Count"":1,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""}]",FALSE,2000,모든 적 처치,,
30920,3806,3,"[{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1204,""Count"":2,""Position"":""Back""},{""Monster_ID"":1209,""Count"":1,""Position"":""Back""}]",FALSE,2500,모든 적 처치,,
10921,3807,1,"[{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""}]",FALSE,0,모든 적 처치,,
20922,3807,2,"[{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1207,""Count"":1,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""}]",FALSE,2000,모든 적 처치,,
30923,3807,3,"[{""Monster_ID"":1207,""Count"":2,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2500,,,
10924,3808,1,"[{""Monster_ID"":1207,""Count"":2,""Position"":""Front""},{""Monster_ID"":1212,""Count"":1,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,0,,,
20925,3808,2,"[{""Monster_ID"":1207,""Count"":2,""Position"":""Front""},{""Monster_ID"":1209,""Count"":1,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2000,,,
30926,3808,3,"[{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""},{""Monster_ID"":1213,""Count"":1,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2500,,,
10927,3809,1,"[{""Monster_ID"":1207,""Count"":2,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,0,,,
20928,3809,2,"[{""Monster_ID"":1212,""Count"":2,""Position"":""Front""},{""Monster_ID"":1209,""Count"":1,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""}]",FALSE,2000,,,
30929,3809,3,"[{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1209,""Count"":1,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2500,,,
10930,4810,1,"[{""Monster_ID"":1206,""Count"":2,""Position"":""Front""},{""Monster_ID"":1207,""Count"":1,""Position"":""Back""},{""Monster_ID"":1213,""Count"":1,""Position"":""Back""}]",FALSE,0,,,
20931,4810,2,"[{""Monster_ID"":1207,""Count"":1,""Position"":""Front""},[{""Monster_ID"":1206,""Count"":1,""Position"":""Front""},{""Monster_ID"":1212,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2000,,,
30932,4810,3,"[{""Monster_ID"":1207,""Count"":2,""Position"":""Front""},{""Monster_ID"":1213,""Count"":2,""Position"":""Back""},{""Monster_ID"":1215,""Count"":1,""Position"":""Back""}]",FALSE,2500,,,
40933,4810,4,"{""Monster_ID"":1207,""Count"":2,""Position"":""Front""},{""Monster_ID"":1213,""Count"":1,""Position"":""Back""},{""Monster_ID"":2216,""Count"":1,""Position"":""Back""},{""Monster_ID"":2214,""Count"":1,""Position"":""Back""}]",TRUE,3000,,,
